datetime,respond_timestamp,quote,Pred_Signal,buy_power,accuracy
2022-04-20 12:17,2022-04-20 12:17,981.71,0,39.5,0.7689393939393939
2022-04-20 12:18,2022-04-20 12:18,982.5,0,39.5,0.7651515151515151
2022-04-20 12:19,2022-04-20 12:19,983.12,1,39.5,0.7613636363636364
2022-04-20 12:20,2022-04-20 12:20,982.71,0,39.5,0.7660377358490567
2022-04-20 12:21,2022-04-20 12:21,981.37,1,39.5,0.7660377358490567
2022-04-20 12:22,2022-04-20 12:22,980.85,1,39.5,0.7660377358490567
2022-04-20 12:23,2022-04-20 12:23,980.87,0,39.5,0.7660377358490567
2022-04-20 12:24,2022-04-20 12:24,980.35,-1,39.5,0.7584905660377359
2022-04-20 12:25,2022-04-20 12:25,979.38,0,39.5,0.7706766917293233
2022-04-20 12:26,2022-04-20 12:26,981.75,1,39.5,0.7631578947368421
2022-04-20 12:27,2022-04-20 12:27,980.15,0,39.5,0.7706766917293233
2022-04-20 12:28,2022-04-20 12:28,979.0,0,39.5,0.7669172932330827
2022-04-20 12:29,2022-04-20 12:29,979.45,1,39.5,0.7593984962406015
2022-04-20 12:30,2022-04-20 12:30,980.18,0,39.5,0.7640449438202247
2022-04-20 12:31,2022-04-20 12:31,981.5,0,39.5,0.7602996254681648
2022-04-20 12:32,2022-04-20 12:32,982.17,1,39.5,0.7565543071161048
2022-04-20 12:33,2022-04-20 12:33,985.23,0,39.5,0.7602996254681648
2022-04-20 12:34,2022-04-20 12:34,984.27,-1,39.5,0.7528089887640449
2022-04-20 12:35,2022-04-20 12:35,983.99,-1,39.5,0.753731343283582
2022-04-20 12:36,2022-04-20 12:36,982.81,-1,39.5,0.7574626865671642
2022-04-20 12:37,2022-04-20 12:37,985.79,-1,39.5,0.753731343283582
2022-04-20 12:38,2022-04-20 12:38,986.48,1,39.5,0.75
2022-04-20 12:39,2022-04-20 12:39,984.27,0,39.5,0.7574626865671642
2022-04-20 12:40,2022-04-20 12:40,984.56,0,39.5,0.7509293680297398
2022-04-20 12:41,2022-04-20 12:41,984.09,-1,39.5,0.7434944237918215
2022-04-20 12:42,2022-04-20 12:42,984.3,0,39.5,0.7546468401486989
2022-04-20 12:43,2022-04-20 12:43,986.64,0,39.5,0.7509293680297398
